,Application_ID,Python (out of 3),R Programming (out of 3),Deep Learning (out of 3),PHP (out of 3),MySQL (out of 3),HTML (out of 3),CSS (out of 3),JavaScript (out of 3),AJAX (out of 3),Bootstrap (out of 3),MongoDB (out of 3),Node.js (out of 3),ReactJS (out of 3),Other skills,Data_Scientist_Total,Web_Development_Total,Web_Development_Eligibility,Data_Scientist_Eligibility,Post Assigned
0,ML0002,2,0,0,2,2,2,2,2,0,0,0,0,0,"Data Science, Machine Learning, Neural Networks, Python, Android",5,8,0,0,0
1,ML0003,3,0,1,2,2,2,0,2,0,0,0,0,0,"Algorithms, Data Structures, Python, C Programming, C#.NET, C++ Programming, Data Analytics, Java, Machine Learning, Mathematics, MongoDB, Natural Language Processing (NLP), PostgreSQL, SQL, Statistical Modeling, Amazon Web Services (AWS), Deep Learning",14,7,1,1,3
2,ML0004,2,0,2,1,0,2,0,0,0,0,0,0,0,"CSS, Deep Learning, Embedded Systems, HTML, Machine Learning, Python, Arduino",6,3,0,0,0
3,ML0005,2,0,0,2,0,2,1,1,0,0,2,2,2,"HTML, OpenCV, Python, SQL, C++ Programming, CSS, Django, MongoDB, REST API",4,11,0,0,0
4,ML0006,2,0,0,1,0,3,2,1,0,0,0,0,0,"Data Analytics, Machine Learning, MySQL, Python",4,7,0,0,0
5,ML0007,1,0,0,0,0,0,0,0,0,0,0,0,0,"MS-Word, Python, Robotics",1,0,0,0,0
6,ML0008,3,1,0,0,0,2,0,0,0,0,0,0,0,"Data Analytics, Python, SQL, .NET, ASP.NET, C#, MS SQL Server, MySQL, R Programming",5,4,0,0,0
7,ML0009,3,0,0,0,0,2,2,0,0,0,0,0,0,"English Proficiency (Spoken), English Proficiency (Written), Hindi Proficiency(Spoken), LaTeX, MS-Excel, MS-PowerPoint, MS-Word, Python, Report Writing, BIG DATA ANALYTICS, Creative Writing, Data Analytics, Event Management, MATLAB, Machine Learning, Physics, SQL, Teaching, WordPress, C++ Programming, Catia, Video Editing",8,4,0,0,0
8,ML0010,2,0,2,0,0,2,2,2,0,0,0,0,2,"MS-Office, Computer Vision, Data Analytics, Deep Learning, MS-Excel, Machine Learning, Natural Language Processing (NLP), Python, SQL",9,8,1,0,2
9,ML0011,2,0,0,0,0,0,0,0,0,0,0,0,0,"CSS, HTML, Java, Python, SQL",2,0,0,0,0
10,ML0012,3,0,2,1,0,2,0,0,0,0,0,0,0,"Python, C++ Programming, Data Analytics, Deep Learning, MATLAB, Machine Learning, SQL",9,3,1,0,2
11,ML0013,2,2,1,1,0,2,2,1,0,0,0,0,0,"C Programming, Image Processing, Machine Learning, Natural Language Processing (NLP), OpenCV, Python, R Programming, Deep Learning, MySQL",9,6,1,0,2
12,ML0014,2,2,0,2,1,0,0,0,0,0,0,0,0,"C Programming, C++ Programming, Data Analytics, Java, MS-Excel, Machine Learning, MySQL, Python, R Programming, Statistical Modeling",8,2,0,0,0
13,ML0015,2,0,0,0,0,0,0,0,0,0,0,0,0,"Java, Python, SQL, C Programming",2,0,0,0,0
14,ML0016,2,0,0,0,2,2,2,1,1,1,0,0,0,"SQL, Data Analytics, MS-Excel, Machine Learning, Python",6,7,0,0,0
15,ML0017,2,0,0,2,0,2,2,0,0,0,0,0,0,"MS-Office, Python, Data Science, Machine Learning, SQL",3,6,0,0,0
16,ML0018,1,0,0,0,0,2,2,1,0,0,0,0,0,"Data Analytics, Machine Learning, Python",3,5,0,0,0
17,ML0019,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,3,0,0,0
18,ML0020,2,0,0,2,2,2,2,2,0,0,0,0,1,"BIG DATA ANALYTICS, Data Analytics, Database Management System (DBMS), Machine Learning, MySQL, Natural Language Processing (NLP), Python",8,9,0,0,0
19,ML0022,1,1,0,0,0,0,0,0,0,0,0,0,0,"Python, R Programming",2,0,0,0,0
20,ML0023,2,0,0,0,0,2,2,0,0,0,0,0,0,"Data Science, C Programming, Data Structures, Machine Learning, Neural Networks, Python, SQL",4,4,0,0,0
21,ML0025,2,0,0,0,2,0,2,2,0,0,0,0,0,"Algorithms, C++ Programming, Data Structures, Database Management System (DBMS), Python, Java",6,4,0,0,0
22,ML0026,2,0,0,0,0,2,0,0,0,0,0,0,0,"C Programming, Java, MySQL, PHP, Python",2,2,0,0,0
23,ML0027,2,0,0,0,0,2,2,1,0,0,0,0,0,"Machine Learning, Python",3,5,0,0,0
24,ML0028,2,0,2,0,0,0,0,0,0,0,0,0,0,"Artifical Intelligence, C++ Programming, Deep Learning, Image Processing, Machine Learning, Python",8,0,0,0,0
25,ML0029,2,1,0,2,0,2,1,2,0,0,0,0,0,"Machine Learning, Natural Language Processing (NLP), Python, MATLAB, R Programming",6,7,0,0,0
26,ML0030,2,2,2,2,0,2,2,0,0,0,0,0,0,"Artifical Intelligence, Computer Vision, Deep Learning, Machine Learning, Natural Language Processing (NLP), Python, R Programming, SQL, Statistical Modeling, Tableau",13,6,1,1,3
27,ML0031,2,2,0,0,0,2,2,0,0,0,0,0,0,"Data Analytics, MS-Excel, MS-Office, Machine Learning, Python, R Programming, SQL",6,4,0,0,0
28,ML0032,2,0,0,1,0,1,1,1,0,0,0,0,0,"Data Analytics, Machine Learning, Python",4,4,0,0,0
29,ML0033,1,0,0,0,0,1,1,1,0,0,0,0,0,"CSS, Django, HTML, JavaScript, Python",1,4,0,0,0
30,ML0034,3,2,2,0,0,2,2,0,0,2,0,0,0,"Python, Data Structures, Deep Learning, Machine Learning, R Programming, Statistical Modeling, Natural Language Processing (NLP)",12,6,1,1,3
31,ML0035,3,3,3,0,2,2,2,1,0,2,0,0,0,"Artifical Intelligence, Data Analytics, Deep Learning, MS-Excel, Machine Learning, Python, R Programming",15,7,1,1,3
32,ML0036,0,0,0,0,0,0,0,0,0,0,0,0,0,"English Proficiency (Spoken), English Proficiency (Written), SPSS, Data Analytics, Database Management System (DBMS), MS-Excel, Machine Learning, Report Writing, Adobe Photoshop, PHP, WordPress",4,1,0,0,0
33,ML0037,2,0,0,1,2,1,2,0,0,2,0,0,0,"Django, MS-Excel, Machine Learning, Python, SQL",5,7,0,0,0
34,ML0038,2,0,2,2,0,2,2,2,0,0,0,0,0,"Data Structures, Artifical Intelligence, Database Management System (DBMS), Deep Learning, J2EE, Java, Machine Learning, Python",8,8,0,0,0
35,ML0039,1,0,0,2,3,3,2,2,0,2,0,2,0,"C Programming, MS-Office, Bootstrap, C++ Programming, Data Structures, English Proficiency (Spoken), HTML, MySQL, PHP, Python",5,13,0,0,0
36,ML0040,2,0,0,0,0,0,0,0,0,0,0,0,0,"Bootstrap, CSS, HTML, JavaScript, WordPress, Java, Python",3,0,0,0,0
37,ML0041,1,1,1,0,0,0,0,0,0,0,0,0,0,"C Programming, C++ Programming, Deep Learning, Machine Learning, Natural Language Processing (NLP), Python, R Programming",6,0,0,0,0
38,ML0042,1,0,0,3,0,3,2,3,0,0,0,0,0,"Android, Java, Adobe Photoshop, Machine Learning, Python",2,12,0,0,0
39,ML0043,1,2,0,0,0,2,0,2,0,0,0,0,0,"English Proficiency (Spoken), Data Analytics, MS-Excel, Machine Learning, R Programming, Tableau, Python",6,4,0,0,0
40,ML0044,2,2,0,0,0,0,0,0,0,0,0,0,0,"C Programming, Data Analytics, Data Science, Python, R Programming, MS-Excel, Machine Learning, SQL, Statistical Modeling, Tableau",8,0,0,0,0
41,ML0045,2,0,0,0,0,0,0,0,0,0,0,0,0,"Algorithms, C++ Programming, Data Analytics, Data Structures, Machine Learning, Mathematics, Python",6,0,0,0,0
42,ML0046,3,0,2,0,0,0,0,0,0,0,0,0,0,"Image Processing, Machine Learning, Mathematics, Python, Computer Vision, Deep Learning, OpenCV, Django",9,1,1,0,2
43,ML0047,0,0,0,2,2,2,2,2,0,2,0,0,0,"AutoCAD, Embedded Systems, MATLAB",3,10,0,0,0
44,ML0048,2,0,2,0,0,2,0,0,0,0,0,0,0,"C Programming, C++ Programming, Deep Learning, Machine Learning, Python",6,2,0,0,0
45,ML0049,2,0,0,2,0,2,2,1,0,0,0,0,0,"Machine Learning, Python, SQL",3,7,0,0,0
46,ML0050,2,0,0,0,0,2,2,1,0,0,0,0,0,"Python, Computer Vision, Image Processing, Machine Learning, Natural Language Processing (NLP), OpenCV",6,5,0,0,0
47,ML0051,1,0,0,0,0,0,0,0,0,0,0,0,0,"HTML, Java, MS-Word, C Programming, Python",1,0,0,0,0
48,ML0052,2,0,0,2,0,2,2,3,0,0,0,0,0,"Artifical Intelligence, Machine Learning, Python, SQL, Statistical Modeling, MongoDB",5,9,0,0,0
49,ML0053,2,0,2,2,0,2,2,0,0,0,0,0,0,"Deep Learning, Machine Learning, Python, Artifical Intelligence, Natural Language Processing (NLP)",8,6,0,0,0
50,ML0054,1,0,0,0,0,2,0,0,0,0,0,0,0,"AngularJS, CSS, HTML, Java, JavaScript, MySQL, Node.js, ReactJS, Python",2,2,0,0,0
51,ML0055,2,2,0,2,0,2,2,0,0,0,0,0,0,"MS-Word, Statistical Modeling, MS-Excel, MS-Office, Mathematics, Python, R Programming, Data Analytics",6,6,0,0,0
52,ML0056,2,2,2,0,0,0,0,0,0,0,0,0,0,"C Programming, Data Structures, Deep Learning, Machine Learning, MySQL, Natural Language Processing (NLP), Python, R Programming, Computer Vision, Django, Hadoop",12,1,1,1,3
53,ML0057,0,0,0,0,0,2,0,0,0,0,0,0,0,"Data Analytics, Machine Learning, Database Management System (DBMS)",2,2,0,0,0
54,ML0058,3,0,0,2,0,3,2,0,0,0,0,0,0,"C Programming, C++ Programming, Python, Java, HTML, JavaScript, SQL",3,7,0,0,0
55,ML0059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,ML0060,3,1,0,3,0,2,2,0,0,3,0,0,0,"Data Analytics, Machine Learning, MySQL, Python, Statistical Modeling, BIG DATA ANALYTICS, MS-Excel, SAS, R Programming",8,10,0,0,0
57,ML0061,3,0,3,0,0,0,0,0,0,0,0,0,0,"Computer Vision, Deep Learning, Image Processing, Neural Networks, Python, Data Analytics",10,0,1,0,2
58,ML0062,1,0,0,0,0,0,0,2,0,0,0,0,0,"AutoCAD, Autodesk Inventor, C Programming, SolidWorks, ANSYS, C++ Programming, GNU Octave, MATLAB, Arduino, Autodesk SketchBook, HTML, Machine Learning, Python",3,2,0,0,0
