,Unnamed: 0,Application_ID,Python (out of 3),R Programming (out of 3),Deep Learning (out of 3),PHP (out of 3),MySQL (out of 3),HTML (out of 3),CSS (out of 3),JavaScript (out of 3),AJAX (out of 3),Bootstrap (out of 3),MongoDB (out of 3),Node.js (out of 3),ReactJS (out of 3),Other skills
1,1,ML0002,2,0,0,2,2,2,2,2,0,0,0,0,0,"Data Science, Machine Learning, Neural Networks, Python, Android"
2,2,ML0003,3,0,1,2,2,2,0,2,0,0,0,0,0,"Algorithms, Data Structures, Python, C Programming, C#.NET, C++ Programming, Data Analytics, Java, Machine Learning, Mathematics, MongoDB, Natural Language Processing (NLP), PostgreSQL, SQL, Statistical Modeling, Amazon Web Services (AWS), Deep Learning"
3,3,ML0004,2,0,2,1,0,2,0,0,0,0,0,0,0,"CSS, Deep Learning, Embedded Systems, HTML, Machine Learning, Python, Arduino"
4,4,ML0005,2,0,0,2,0,2,1,1,0,0,2,2,2,"HTML, OpenCV, Python, SQL, C++ Programming, CSS, Django, MongoDB, REST API"
5,5,ML0006,2,0,0,1,0,3,2,1,0,0,0,0,0,"Data Analytics, Machine Learning, MySQL, Python"
6,6,ML0007,1,0,0,0,0,0,0,0,0,0,0,0,0,"MS-Word, Python, Robotics"
7,7,ML0008,3,1,0,0,0,2,0,0,0,0,0,0,0,"Data Analytics, Python, SQL, .NET, ASP.NET, C#, MS SQL Server, MySQL, R Programming"
8,8,ML0009,3,0,0,0,0,2,2,0,0,0,0,0,0,"English Proficiency (Spoken), English Proficiency (Written), Hindi Proficiency(Spoken), LaTeX, MS-Excel, MS-PowerPoint, MS-Word, Python, Report Writing, BIG DATA ANALYTICS, Creative Writing, Data Analytics, Event Management, MATLAB, Machine Learning, Physics, SQL, Teaching, WordPress, C++ Programming, Catia, Video Editing"
9,9,ML0010,2,0,2,0,0,2,2,2,0,0,0,0,2,"MS-Office, Computer Vision, Data Analytics, Deep Learning, MS-Excel, Machine Learning, Natural Language Processing (NLP), Python, SQL"
10,10,ML0011,2,0,0,0,0,0,0,0,0,0,0,0,0,"CSS, HTML, Java, Python, SQL"
11,11,ML0012,3,0,2,1,0,2,0,0,0,0,0,0,0,"Python, C++ Programming, Data Analytics, Deep Learning, MATLAB, Machine Learning, SQL"
12,12,ML0013,2,2,1,1,0,2,2,1,0,0,0,0,0,"C Programming, Image Processing, Machine Learning, Natural Language Processing (NLP), OpenCV, Python, R Programming, Deep Learning, MySQL"
13,13,ML0014,2,2,0,2,1,0,0,0,0,0,0,0,0,"C Programming, C++ Programming, Data Analytics, Java, MS-Excel, Machine Learning, MySQL, Python, R Programming, Statistical Modeling"
14,14,ML0015,2,0,0,0,0,0,0,0,0,0,0,0,0,"Java, Python, SQL, C Programming"
15,15,ML0016,2,0,0,0,2,2,2,1,1,1,0,0,0,"SQL, Data Analytics, MS-Excel, Machine Learning, Python"
16,16,ML0017,2,0,0,2,0,2,2,0,0,0,0,0,0,"MS-Office, Python, Data Science, Machine Learning, SQL"
17,17,ML0018,1,0,0,0,0,2,2,1,0,0,0,0,0,"Data Analytics, Machine Learning, Python"
18,18,ML0019,0,0,0,0,0,2,1,0,0,0,0,0,0,0
19,19,ML0020,2,0,0,2,2,2,2,2,0,0,0,0,1,"BIG DATA ANALYTICS, Data Analytics, Database Management System (DBMS), Machine Learning, MySQL, Natural Language Processing (NLP), Python"
21,21,ML0022,1,1,0,0,0,0,0,0,0,0,0,0,0,"Python, R Programming"
22,22,ML0023,2,0,0,0,0,2,2,0,0,0,0,0,0,"Data Science, C Programming, Data Structures, Machine Learning, Neural Networks, Python, SQL"
24,24,ML0025,2,0,0,0,2,0,2,2,0,0,0,0,0,"Algorithms, C++ Programming, Data Structures, Database Management System (DBMS), Python, Java"
25,25,ML0026,2,0,0,0,0,2,0,0,0,0,0,0,0,"C Programming, Java, MySQL, PHP, Python"
26,26,ML0027,2,0,0,0,0,2,2,1,0,0,0,0,0,"Machine Learning, Python"
27,27,ML0028,2,0,2,0,0,0,0,0,0,0,0,0,0,"Artifical Intelligence, C++ Programming, Deep Learning, Image Processing, Machine Learning, Python"
28,28,ML0029,2,1,0,2,0,2,1,2,0,0,0,0,0,"Machine Learning, Natural Language Processing (NLP), Python, MATLAB, R Programming"
29,29,ML0030,2,2,2,2,0,2,2,0,0,0,0,0,0,"Artifical Intelligence, Computer Vision, Deep Learning, Machine Learning, Natural Language Processing (NLP), Python, R Programming, SQL, Statistical Modeling, Tableau"
30,30,ML0031,2,2,0,0,0,2,2,0,0,0,0,0,0,"Data Analytics, MS-Excel, MS-Office, Machine Learning, Python, R Programming, SQL"
31,31,ML0032,2,0,0,1,0,1,1,1,0,0,0,0,0,"Data Analytics, Machine Learning, Python"
32,32,ML0033,1,0,0,0,0,1,1,1,0,0,0,0,0,"CSS, Django, HTML, JavaScript, Python"
33,33,ML0034,3,2,2,0,0,2,2,0,0,2,0,0,0,"Python, Data Structures, Deep Learning, Machine Learning, R Programming, Statistical Modeling, Natural Language Processing (NLP)"
